la_code,Borough,2019,2020,2021,2022,2023,2024
E09000001,Camden,5.6,4.7,3.6,5.5,4,6.6
E09000002,City of London,-,-,-,-,,
E09000003,Hackney,4.4,4.4,6.3,9.9,4.3,4.5
E09000004,Hammersmith and Fulham,3.7,6.5,5.2,2.8,3.9,5.7
E09000005,Haringey,2.7,5.3,4.5,3.1,4.4,5.9
E09000006,Islington,4.2,4.9,4.3,3.7,4.1,6
E09000007,Kensington and Chelsea,5.4,5.5,4,2.7,4.7,5.6
E09000008,Lambeth,5.9,8.4,4.4,3.8,3.9,4.5
E09000009,Lewisham,4.8,4.8,4.6,2.6,4.7,5.5
E09000010,Newham,4.9,6.9,4.3,5.3,4.7,6.2
E09000011,Southwark,4.1,7.5,5.9,4.9,4.1,4.8
E09000012,Tower Hamlets,4,6,5.3,4.9,5.2,6.2
E09000013,Wandsworth,4.4,3.4,5.8,2.1,2.9,4.8
E09000014,Westminster,4.8,12.2,6.1,3.2,3.7,5.7
E09000015,Barking and Dagenham,5.9,9.4,4,4.3,5.5,6.7
E09000016,Barnet,5.5,5.4,7.5,6.4,5.7,4.8
E09000017,Bexley,4.7,5.7,6,2.5,3,4.4
E09000018,Brent,6.2,4,8,9.8,7.3,5.5
E09000019,Bromley,1.9,3.1,6.3,2.7,4,4.8
E09000020,Croydon,3.5,6.1,5.7,3,5.7,4.8
E09000021,Ealing,4.5,6.1,6.7,5.8,5.8,4.3
E09000022,Enfield,7.3,6,5,6.7,5.5,4.9
E09000023,Greenwich,4.6,6.3,8.6,3.6,4.7,4.3
E09000024,Harrow,5.1,8,6,5.2,5.1,4
E09000025,Havering,5,4.2,5.3,1.5,3.5,3.9
E09000026,Hillingdon,4.8,9.3,6.7,6.1,5.1,5.5
E09000027,Hounslow,3.7,5.1,4.5,4,4.5,4.8
E09000028,Kingston upon Thames,2.9,4.8,3,1.9,2.9,4.5
E09000029,Merton,4.5,6.1,4.6,,4.2,3.8
E09000030,Redbridge,3.8,2,8.4,5.1,5.1,5.7
E09000031,Richmond upon Thames,1,2,5.5,3.7,3.3,4.8
E09000032,Sutton,5.8,5.8,5.2,4.8,3.8,5.2
E09000033,Waltham Forest,6.5,11.3,6.1,6.5,6.6,3.7
