la_Code,borough,tenure_Status,non-Migrant,migrant,migrantss
E09000001,City of London,Owned: Owns outright,1114,562,552
E09000001,City of London,Owned: Owns with a mortgage or loan,680,343,337
E09000001,City of London,Shared ownership: Shared ownership,12,6,6
E09000001,City of London,Social rented: Rents from council or Local Authority,730,368,362
E09000001,City of London,Private rented: Private landlord or letting agency,2373,1196,1177
E09000001,City of London,Lives rent free,5,3,2
E09000002,Barking and Dagenham,Owned: Owns outright,11130,6534,4596
E09000002,Barking and Dagenham,Owned: Owns with a mortgage or loan,20189,11852,8337
E09000002,Barking and Dagenham,Shared ownership: Shared ownership,1274,748,526
E09000002,Barking and Dagenham,Social rented: Rents from council or Local Authority,18077,10612,7465
E09000002,Barking and Dagenham,Private rented: Private landlord or letting agency,17890,10502,7388
E09000002,Barking and Dagenham,Lives rent free,146,86,60
E09000003,Barnet,Owned: Owns outright,39083,22214,16869
E09000003,Barnet,Owned: Owns with a mortgage or loan,39324,22351,16973
E09000003,Barnet,Shared ownership: Shared ownership,1633,928,705
E09000003,Barnet,Social rented: Rents from council or Local Authority,20034,11387,8647
E09000003,Barnet,Private rented: Private landlord or letting agency,48705,27683,21022
E09000003,Barnet,Lives rent free,138,78,60
E09000004,Bexley,Owned: Owns outright,31210,24656,6554
E09000004,Bexley,Owned: Owns with a mortgage or loan,34207,27024,7183
E09000004,Bexley,Shared ownership: Shared ownership,1263,998,265
E09000004,Bexley,Social rented: Rents from council or Local Authority,13977,11042,2935
E09000004,Bexley,Private rented: Private landlord or letting agency,14578,11517,3061
E09000004,Bexley,Lives rent free,65,51,14
E09000005,Brent,Owned: Owns outright,23933,10511,13422
E09000005,Brent,Owned: Owns with a mortgage or loan,21660,9513,12147
E09000005,Brent,Shared ownership: Shared ownership,2246,986,1260
E09000005,Brent,Social rented: Rents from council or Local Authority,27876,12243,15633
E09000005,Brent,Private rented: Private landlord or letting agency,42726,18764,23962
E09000005,Brent,Lives rent free,171,75,96
E09000006,Bromley,Owned: Owns outright,44794,35707,9087
E09000006,Bromley,Owned: Owns with a mortgage or loan,48234,38540,9784
E09000006,Bromley,Shared ownership: Shared ownership,1166,929,237
E09000006,Bromley,Social rented: Rents from council or Local Authority,17926,14290,3636
E09000006,Bromley,Private rented: Private landlord or letting agency,23661,18861,4800
E09000006,Bromley,Lives rent free,47,37,10
E09000007,Camden,Owned: Owns outright,14780,8064,6716
E09000007,Camden,Owned: Owns with a mortgage or loan,12727,6944,5783
E09000007,Camden,Shared ownership: Shared ownership,715,390,325
E09000007,Camden,Social rented: Rents from council or Local Authority,41449,22614,18835
E09000007,Camden,Private rented: Private landlord or letting agency,33012,18011,15001
E09000007,Camden,Lives rent free,274,149,125
E09000008,Croydon,Owned: Owns outright,36992,24099,12893
E09000008,Croydon,Owned: Owns with a mortgage or loan,46675,30407,16268
E09000008,Croydon,Shared ownership: Shared ownership,2183,1422,761
E09000008,Croydon,Social rented: Rents from council or Local Authority,39973,26041,13932
E09000008,Croydon,Private rented: Private landlord or letting agency,39441,25694,13747
E09000008,Croydon,Lives rent free,283,184,99
E09000009,Ealing,Owned: Owns outright,30275,14890,15385
E09000009,Ealing,Owned: Owns with a mortgage or loan,31539,15512,16027
E09000009,Ealing,Shared ownership: Shared ownership,2658,1307,1351
E09000009,Ealing,Social rented: Rents from council or Local Authority,23382,11500,11882
E09000009,Ealing,Private rented: Private landlord or letting agency,45490,22374,23116
E09000009,Ealing,Lives rent free,313,154,159
E09000010,Enfield,Owned: Owns outright,31740,18932,12808
E09000010,Enfield,Owned: Owns with a mortgage or loan,31607,18852,12755
E09000010,Enfield,Shared ownership: Shared ownership,1319,787,532
E09000010,Enfield,Social rented: Rents from council or Local Authority,20573,12271,8302
E09000010,Enfield,Private rented: Private landlord or letting agency,35388,21108,14280
E09000010,Enfield,Lives rent free,296,177,119
E09000011,Greenwich,Owned: Owns outright,18473,11540,6933
E09000011,Greenwich,Owned: Owns with a mortgage or loan,28454,17775,10679
E09000011,Greenwich,Shared ownership: Shared ownership,2471,1544,927
E09000011,Greenwich,Social rented: Rents from council or Local Authority,35327,22069,13258
E09000011,Greenwich,Private rented: Private landlord or letting agency,29088,18171,10917
E09000011,Greenwich,Lives rent free,238,149,89
E09000012,Hackney,Owned: Owns outright,10263,6187,4076
E09000012,Hackney,Owned: Owns with a mortgage or loan,15803,9526,6277
E09000012,Hackney,Shared ownership: Shared ownership,2664,1606,1058
E09000012,Hackney,Social rented: Rents from council or Local Authority,42945,25888,17057
E09000012,Hackney,Private rented: Private landlord or letting agency,34147,20585,13562
E09000012,Hackney,Lives rent free,259,156,103
E09000013,Hammersmith and Fulham,Owned: Owns outright,12483,6803,5680
E09000013,Hammersmith and Fulham,Owned: Owns with a mortgage or loan,13607,7416,6191
E09000013,Hammersmith and Fulham,Shared ownership: Shared ownership,1208,658,550
E09000013,Hammersmith and Fulham,Social rented: Rents from council or Local Authority,24231,13206,11025
E09000013,Hammersmith and Fulham,Private rented: Private landlord or letting agency,29558,16109,13449
E09000013,Hammersmith and Fulham,Lives rent free,157,86,71
E09000014,Haringey,Owned: Owns outright,18141,9826,8315
E09000014,Haringey,Owned: Owns with a mortgage or loan,20975,11361,9614
E09000014,Haringey,Shared ownership: Shared ownership,1732,938,794
E09000014,Haringey,Social rented: Rents from council or Local Authority,26474,14339,12135
E09000014,Haringey,Private rented: Private landlord or letting agency,37376,20244,17132
E09000014,Haringey,Lives rent free,393,213,180
E09000015,Harrow,Owned: Owns outright,26947,8844,18103
