la_Code,borough,tenure_Status,Observation,
E09000001,City of London,Owned: Owns outright,1114,
E09000001,City of London,Owned: Owns with a mortgage or loan,680,
E09000001,City of London,Shared ownership: Shared ownership,12,
E09000001,City of London,Social rented: Rents from council or Local Authority,730, 
E09000001,City of London,Private rented: Private landlord or letting agency,2373,
E09000001,City of London,Lives rent free,5,
E09000002,Barking and Dagenham,Owned: Owns outright,11130,
E09000002,Barking and Dagenham,Owned: Owns with a mortgage or loan,20189,
E09000002,Barking and Dagenham,Shared ownership: Shared ownership,1274,
E09000002,Barking and Dagenham,Social rented: Rents from council or Local Authority,18077,
E09000002,Barking and Dagenham,Private rented: Private landlord or letting agency,17890,
E09000002,Barking and Dagenham,Lives rent free,146,
E09000003,Barnet,Owned: Owns outright,39083,
E09000003,Barnet,Owned: Owns with a mortgage or loan,39324,
E09000003,Barnet,Shared ownership: Shared ownership,1633,
E09000003,Barnet,Social rented: Rents from council or Local Authority,20034,
E09000003,Barnet,Private rented: Private landlord or letting agency,48705,
E09000003,Barnet,Lives rent free,138,
E09000004,Bexley,Owned: Owns outright,31210,
E09000004,Bexley,Owned: Owns with a mortgage or loan,34207,
E09000004,Bexley,Shared ownership: Shared ownership,1263,
E09000004,Bexley,Social rented: Rents from council or Local Authority,13977,
E09000004,Bexley,Private rented: Private landlord or letting agency,14578,
E09000004,Bexley,Lives rent free,65,
E09000005,Brent,Owned: Owns outright,23933,
E09000005,Brent,Owned: Owns with a mortgage or loan,21660,
E09000005,Brent,Shared ownership: Shared ownership,2246,
E09000005,Brent,Social rented: Rents from council or Local Authority,27876,
E09000005,Brent,Private rented: Private landlord or letting agency,42726,
E09000005,Brent,Lives rent free,171,
E09000006,Bromley,Owned: Owns outright,44794,
E09000006,Bromley,Owned: Owns with a mortgage or loan,48234,
E09000006,Bromley,Shared ownership: Shared ownership,1166,
E09000006,Bromley,Social rented: Rents from council or Local Authority,17926,
E09000006,Bromley,Private rented: Private landlord or letting agency,23661,
E09000006,Bromley,Lives rent free,47,
E09000007,Camden,Owned: Owns outright,14780,
E09000007,Camden,Owned: Owns with a mortgage or loan,12727,
E09000007,Camden,Shared ownership: Shared ownership,715,
E09000007,Camden,Social rented: Rents from council or Local Authority,41449,
E09000007,Camden,Private rented: Private landlord or letting agency,33012,
E09000007,Camden,Lives rent free,274,
E09000008,Croydon,Owned: Owns outright,36992,
E09000008,Croydon,Owned: Owns with a mortgage or loan,46675,
E09000008,Croydon,Shared ownership: Shared ownership,2183,
E09000008,Croydon,Social rented: Rents from council or Local Authority,39973,
E09000008,Croydon,Private rented: Private landlord or letting agency,39441,
E09000008,Croydon,Lives rent free,283,
E09000009,Ealing,Owned: Owns outright,30275,
E09000009,Ealing,Owned: Owns with a mortgage or loan,31539,
E09000009,Ealing,Shared ownership: Shared ownership,2658,
E09000009,Ealing,Social rented: Rents from council or Local Authority,23382,
E09000009,Ealing,Private rented: Private landlord or letting agency,45490,
E09000009,Ealing,Lives rent free,313,
E09000010,Enfield,Owned: Owns outright,31740,
E09000010,Enfield,Owned: Owns with a mortgage or loan,31607,
E09000010,Enfield,Shared ownership: Shared ownership,1319,
E09000010,Enfield,Social rented: Rents from council or Local Authority,20573,
E09000010,Enfield,Private rented: Private landlord or letting agency,35388,
E09000010,Enfield,Lives rent free,296,
E09000011,Greenwich,Owned: Owns outright,18473,
E09000011,Greenwich,Owned: Owns with a mortgage or loan,28454,
E09000011,Greenwich,Shared ownership: Shared ownership,2471,
E09000011,Greenwich,Social rented: Rents from council or Local Authority,35327,
E09000011,Greenwich,Private rented: Private landlord or letting agency,29088,
E09000011,Greenwich,Lives rent free,238,
E09000012,Hackney,Owned: Owns outright,10263,
E09000012,Hackney,Owned: Owns with a mortgage or loan,15803,
E09000012,Hackney,Shared ownership: Shared ownership,2664,
E09000012,Hackney,Social rented: Rents from council or Local Authority,42945,
E09000012,Hackney,Private rented: Private landlord or letting agency,34147,
E09000012,Hackney,Lives rent free,259,
E09000013,Hammersmith and Fulham,Owned: Owns outright,12483,
E09000013,Hammersmith and Fulham,Owned: Owns with a mortgage or loan,13607,
E09000013,Hammersmith and Fulham,Shared ownership: Shared ownership,1208,
E09000013,Hammersmith and Fulham,Social rented: Rents from council or Local Authority,24231,
E09000013,Hammersmith and Fulham,Private rented: Private landlord or letting agency,29558,
E09000013,Hammersmith and Fulham,Lives rent free,157,
E09000014,Haringey,Owned: Owns outright,18141,
E09000014,Haringey,Owned: Owns with a mortgage or loan,20975,
E09000014,Haringey,Shared ownership: Shared ownership,1732,
E09000014,Haringey,Social rented: Rents from council or Local Authority,26474,
E09000014,Haringey,Private rented: Private landlord or letting agency,37376,
E09000014,Haringey,Lives rent free,393,
E09000015,Harrow,Owned: Owns outright,26947,
E09000015,Harrow,Owned: Owns with a mortgage or loan,25743,
E09000015,Harrow,Shared ownership: Shared ownership,1007,
E09000015,Harrow,Social rented: Rents from council or Local Authority,9298,
E09000015,Harrow,Private rented: Private landlord or letting agency,26495,
E09000015,Harrow,Lives rent free,152,
E09000016,Havering,Owned: Owns outright,34918,
E09000016,Havering,Owned: Owns with a mortgage or loan,35461,
E09000016,Havering,Shared ownership: Shared ownership,976,
E09000016,Havering,Social rented: Rents from council or Local Authority,13807,
E09000016,Havering,Private rented: Private landlord or letting agency,16019,
E09000016,Havering,Lives rent free,95,
E09000017,Hillingdon,Owned: Owns outright,28994,
E09000017,Hillingdon,Owned: Owns with a mortgage or loan,32837,
E09000017,Hillingdon,Shared ownership: Shared ownership,1373,
E09000017,Hillingdon,Social rented: Rents from council or Local Authority,17613,
E09000017,Hillingdon,Private rented: Private landlord or letting agency,28276,
E09000017,Hillingdon,Lives rent free,135,
E09000018,Hounslow,Owned: Owns outright,21761,
E09000018,Hounslow,Owned: Owns with a mortgage or loan,25283,
E09000018,Hounslow,Shared ownership: Shared ownership,2225,
E09000018,Hounslow,Social rented: Rents from council or Local Authority,31788,
E09000018,Hounslow,Private rented: Private landlord or letting agency,29537,
E09000018,Hounslow,Lives rent free,286,
E09000019,Islington,Owned: Owns outright,11151,
E09000019,Islington,Owned: Owns with a mortgage or loan,14589,
E09000019,Islington,Shared ownership: Shared ownership,1580,
E09000019,Islington,Social rented: Rents from council or Local Authority,38787,
E09000019,Islington,Private rented: Private landlord or letting agency,30079,
E09000019,Islington,Lives rent free,310,
E09000020,Kensington and Chelsea,Owned: Owns outright,13301,
E09000020,Kensington and Chelsea,Owned: Owns with a mortgage or loan,7890,
E09000020,Kensington and Chelsea,Shared ownership: Shared ownership,676,
E09000020,Kensington and Chelsea,Social rented: Rents from council or Local Authority,18430,
E09000020,Kensington and Chelsea,Private rented: Private landlord or letting agency,26460,
E09000020,Kensington and Chelsea,Lives rent free,127,
E09000021,Kingston upon Thames,Owned: Owns outright,18519,
E09000021,Kingston upon Thames,Owned: Owns with a mortgage or loan,21418,
E09000021,Kingston upon Thames,Shared ownership: Shared ownership,460,
E09000021,Kingston upon Thames,Social rented: Rents from council or Local Authority,7244,
E09000021,Kingston upon Thames,Private rented: Private landlord or letting agency,17911,
E09000021,Kingston upon Thames,Lives rent free,76,
E09000022,Lambeth,Owned: Owns outright,16180,
E09000022,Lambeth,Owned: Owns with a mortgage or loan,28289,
E09000022,Lambeth,Shared ownership: Shared ownership,2441,
E09000022,Lambeth,Social rented: Rents from council or Local Authority,45243,
E09000022,Lambeth,Private rented: Private landlord or letting agency,42329,
E09000022,Lambeth,Lives rent free,206,
E09000023,Lewisham,Owned: Owns outright,18853,
E09000023,Lewisham,Owned: Owns with a mortgage or loan,32377,
E09000023,Lewisham,Shared ownership: Shared ownership,1944,
E09000023,Lewisham,Social rented: Rents from council or Local Authority,35753,
E09000023,Lewisham,Private rented: Private landlord or letting agency,33289,
E09000023,Lewisham,Lives rent free,177,
E09000024,Merton,Owned: Owns outright,20695,
E09000024,Merton,Owned: Owns with a mortgage or loan,24773,
E09000024,Merton,Shared ownership: Shared ownership,869,
E09000024,Merton,Social rented: Rents from council or Local Authority,11599,
E09000024,Merton,Private rented: Private landlord or letting agency,23748,
E09000024,Merton,Lives rent free,42,
E09000025,Newham,Owned: Owns outright,14695,
E09000025,Newham,Owned: Owns with a mortgage or loan,20884,
E09000025,Newham,Shared ownership: Shared ownership,2739,
E09000025,Newham,Social rented: Rents from council or Local Authority,32390,
E09000025,Newham,Private rented: Private landlord or letting agency,44479,
E09000025,Newham,Lives rent free,324,
E09000026,Redbridge,Owned: Owns outright,27956,
E09000026,Redbridge,Owned: Owns with a mortgage or loan,31265,
E09000026,Redbridge,Shared ownership: Shared ownership,983,
E09000026,Redbridge,Social rented: Rents from council or Local Authority,16810,
E09000026,Redbridge,Private rented: Private landlord or letting agency,31576,
E09000026,Redbridge,Lives rent free,227,
E09000027,Richmond upon Thames,Owned: Owns outright,24535,
E09000027,Richmond upon Thames,Owned: Owns with a mortgage or loan,25826,
E09000027,Richmond upon Thames,Shared ownership: Shared ownership,560,
E09000027,Richmond upon Thames,Social rented: Rents from council or Local Authority,17675,
E09000027,Richmond upon Thames,Private rented: Private landlord or letting agency,19970,
E09000027,Richmond upon Thames,Lives rent free,61,
E09000028,Southwark,Owned: Owns outright,13879,
E09000028,Southwark,Owned: Owns with a mortgage or loan,23870,
E09000028,Southwark,Shared ownership: Shared ownership,3182,
E09000028,Southwark,Social rented: Rents from council or Local Authority,51991,
E09000028,Southwark,Private rented: Private landlord or letting agency,37506,
E09000028,Southwark,Lives rent free,392,
E09000029,Sutton,Owned: Owns outright,23400,
E09000029,Sutton,Owned: Owns with a mortgage or loan,29647,
E09000029,Sutton,Shared ownership: Shared ownership,889,
E09000029,Sutton,Social rented: Rents from council or Local Authority,11667,
E09000029,Sutton,Private rented: Private landlord or letting agency,16683,
E09000029,Sutton,Lives rent free,61,
E09000030,Tower Hamlets,Owned: Owns outright,9424,
E09000030,Tower Hamlets,Owned: Owns with a mortgage or loan,18459,
E09000030,Tower Hamlets,Shared ownership: Shared ownership,3143,
E09000030,Tower Hamlets,Social rented: Rents from council or Local Authority,43237,
E09000030,Tower Hamlets,Private rented: Private landlord or letting agency,46000,
E09000030,Tower Hamlets,Lives rent free,276,
E09000031,Waltham Forest,Owned: Owns outright,20817,
E09000031,Waltham Forest,Owned: Owns with a mortgage or loan,29539,
E09000031,Waltham Forest,Shared ownership: Shared ownership,1700,
E09000031,Waltham Forest,Social rented: Rents from council or Local Authority,22099,
E09000031,Waltham Forest,Private rented: Private landlord or letting agency,28593,
E09000031,Waltham Forest,Lives rent free,153,
E09000032,Wandsworth,Owned: Owns outright,24410,
E09000032,Wandsworth,Owned: Owns with a mortgage or loan,33915,
E09000032,Wandsworth,Shared ownership: Shared ownership,2509,
E09000032,Wandsworth,Social rented: Rents from council or Local Authority,26544,
E09000032,Wandsworth,Private rented: Private landlord or letting agency,49830,
E09000032,Wandsworth,Lives rent free,184,
E09000033,Westminster,Owned: Owns outright,15213,
E09000033,Westminster,Owned: Owns with a mortgage or loan,10749,
E09000033,Westminster,Shared ownership: Shared ownership,695,
E09000033,Westminster,Social rented: Rents from council or Local Authority,26810,
E09000033,Westminster,Private rented: Private landlord or letting agency,41065,
E09000033,Westminster,Lives rent free,284,
