la_Code,borough,economic_Status,Observation,Status,Value
E09000001,City of London,Employee: Part-time,479,Migrant,237
E09000001,City of London,Employee: Full-time,3784,Migrant,1876
E09000001,City of London,Self-employed: Part-time,406,Migrant,201
E09000001,City of London,Self-employed: Full-time,682,Migrant,338
E09000001,City of London,Unemployed/Inactive,2653,Migrant,1315
E09000001,City of London,Employee: Part-time,479,Non-Migrant,242
E09000001,City of London,Employee: Full-time,3784,Non-Migrant,1908
E09000001,City of London,Self-employed: Part-time,406,Non-Migrant,205
E09000001,City of London,Self-employed: Full-time,682,Non-Migrant,344
E09000001,City of London,Unemployed/Inactive,2653,Non-Migrant,1338
E09000002,Barking and Dagenham,Employee: Part-time,23550,Migrant,9725
E09000002,Barking and Dagenham,Employee: Full-time,51044,Migrant,21080
E09000002,Barking and Dagenham,Self-employed: Part-time,7537,Migrant,3113
E09000002,Barking and Dagenham,Self-employed: Full-time,12660,Migrant,5228
E09000002,Barking and Dagenham,Unemployed/Inactive,67155,Migrant,27733
E09000002,Barking and Dagenham,Employee: Part-time,23550,Non-Migrant,13825
E09000002,Barking and Dagenham,Employee: Full-time,51044,Non-Migrant,29964
E09000002,Barking and Dagenham,Self-employed: Part-time,7537,Non-Migrant,4424
E09000002,Barking and Dagenham,Self-employed: Full-time,12660,Non-Migrant,7432
E09000002,Barking and Dagenham,Unemployed/Inactive,67155,Non-Migrant,39422
E09000003,Barnet,Employee: Part-time,38625,Migrant,16671
E09000003,Barnet,Employee: Full-time,100300,Migrant,43292
E09000003,Barnet,Self-employed: Part-time,5910,Migrant,2551
E09000003,Barnet,Self-employed: Full-time,7492,Migrant,3234
E09000003,Barnet,Unemployed/Inactive,123179,Migrant,53167
E09000003,Barnet,Employee: Part-time,38625,Non-Migrant,21954
E09000003,Barnet,Employee: Full-time,100300,Non-Migrant,57008
E09000003,Barnet,Self-employed: Part-time,5910,Non-Migrant,3359
E09000003,Barnet,Self-employed: Full-time,7492,Non-Migrant,4258
E09000003,Barnet,Unemployed/Inactive,123179,Non-Migrant,70012
E09000004,Bexley,Employee: Part-time,25134,Migrant,5278
E09000004,Bexley,Employee: Full-time,73075,Migrant,15346
E09000004,Bexley,Self-employed: Part-time,7447,Migrant,1564
E09000004,Bexley,Self-employed: Full-time,12327,Migrant,2589
E09000004,Bexley,Unemployed/Inactive,77844,Migrant,16347
E09000004,Bexley,Employee: Part-time,25134,Non-Migrant,19856
E09000004,Bexley,Employee: Full-time,73075,Non-Migrant,57729
E09000004,Bexley,Self-employed: Part-time,7447,Non-Migrant,5883
E09000004,Bexley,Self-employed: Full-time,12327,Non-Migrant,9738
E09000004,Bexley,Unemployed/Inactive,77844,Non-Migrant,61497
E09000005,Brent,Employee: Part-time,34179,Migrant,19168
E09000005,Brent,Employee: Full-time,88987,Migrant,49906
E09000005,Brent,Self-employed: Part-time,15342,Migrant,8604
E09000005,Brent,Self-employed: Full-time,22490,Migrant,12613
E09000005,Brent,Unemployed/Inactive,114144,Migrant,64015
E09000005,Brent,Employee: Part-time,34179,Non-Migrant,15011
E09000005,Brent,Employee: Full-time,88987,Non-Migrant,39081
E09000005,Brent,Self-employed: Part-time,15342,Non-Migrant,6738
E09000005,Brent,Self-employed: Full-time,22490,Non-Migrant,9877
E09000005,Brent,Unemployed/Inactive,114144,Non-Migrant,50129
E09000006,Bromley,Employee: Part-time,31028,Migrant,6294
E09000006,Bromley,Employee: Full-time,100016,Migrant,20289
E09000006,Bromley,Self-employed: Part-time,13039,Migrant,2645
E09000006,Bromley,Self-employed: Full-time,18039,Migrant,3659
E09000006,Bromley,Unemployed/Inactive,102966,Migrant,20887
E09000006,Bromley,Employee: Part-time,31028,Non-Migrant,24734
E09000006,Bromley,Employee: Full-time,100016,Non-Migrant,79727
E09000006,Bromley,Self-employed: Part-time,13039,Non-Migrant,10394
E09000006,Bromley,Self-employed: Full-time,18039,Non-Migrant,14380
E09000006,Bromley,Unemployed/Inactive,102966,Non-Migrant,82079
E09000007,Camden,Employee: Part-time,16104,Migrant,7318
E09000007,Camden,Employee: Full-time,63084,Migrant,28666
E09000007,Camden,Self-employed: Part-time,10901,Migrant,4954
