la_Code,borough,economic_Status,Observation
E09000001,City of London,Employee: Part-time,479
E09000001,City of London,Employee: Full-time,3784
E09000001,City of London,Self-employed: Part-time,406
E09000001,City of London,Self-employed: Full-time,682
E09000001,City of London,Unemployed/Inactive,2653
E09000002,Barking and Dagenham,Employee: Part-time,23550
E09000002,Barking and Dagenham,Employee: Full-time,51044
E09000002,Barking and Dagenham,Self-employed: Part-time,7537
E09000002,Barking and Dagenham,Self-employed: Full-time,12660
E09000002,Barking and Dagenham,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,67155
E09000003,Barnet,Employee: Part-time,38625
E09000003,Barnet,Employee: Full-time,100300
E09000003,Barnet,Self-employed: Part-time,5910
E09000003,Barnet,Self-employed: Full-time,7492
E09000003,Barnet,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,123179
E09000004,Bexley,Employee: Part-time,25134
E09000004,Bexley,Employee: Full-time,73075
E09000004,Bexley,Self-employed: Part-time,7447
E09000004,Bexley,Self-employed: Full-time,12327
E09000004,Bexley,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,77844
E09000005,Brent,Employee: Part-time,34179
E09000005,Brent,Employee: Full-time,88987
E09000005,Brent,Self-employed: Part-time,15342
E09000005,Brent,Self-employed: Full-time,22490
E09000005,Brent,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,114144
E09000006,Bromley,Employee: Part-time,31028
E09000006,Bromley,Employee: Full-time,100016
E09000006,Bromley,Self-employed: Part-time,13039
E09000006,Bromley,Self-employed: Full-time,18039
E09000006,Bromley,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,102966
E09000007,Camden,Employee: Part-time,16104
E09000007,Camden,Employee: Full-time,63084
E09000007,Camden,Self-employed: Part-time,10901
E09000007,Camden,Self-employed: Full-time,12422
E09000007,Camden,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,75397
E09000008,Croydon,Employee: Part-time,40317
E09000008,Croydon,Employee: Full-time,113196
E09000008,Croydon,Self-employed: Part-time,15250
E09000008,Croydon,Self-employed: Full-time,20642
E09000008,Croydon,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,120991
E09000009,Ealing,Employee: Part-time,34845
E09000009,Ealing,Employee: Full-time,103337
E09000009,Ealing,Self-employed: Part-time,16149
E09000009,Ealing,Self-employed: Full-time,20695
E09000009,Ealing,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,120345
E09000010,Enfield,Employee: Part-time,36529
E09000010,Enfield,Employee: Full-time,75827
E09000010,Enfield,Self-employed: Part-time,14290
E09000010,Enfield,Self-employed: Full-time,17218
E09000010,Enfield,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,113318
E09000011,Greenwich,Employee: Part-time,27317
